ID,KHT_Mean,KHT_Median,KHT_Mode,KHT_Stdev,KIT_F1_Mean,KIT_F1_Median,KIT_F1_Mode,KIT_F1_Stdev,KIT_F2_Mean,KIT_F2_Median,KIT_F2_Mode,KIT_F2_Stdev,KIT_F3_Mean,KIT_F3_Median,KIT_F3_Mode,KIT_F3_Stdev,KIT_F4_Mean,KIT_F4_Median,KIT_F4_Mode,KIT_F4_Stdev, Target
22,1494930338356.9575,1648502866048.0,0,780320841314.2891,-1494425507395.5571,-1647889619968.0,3095137024,780192675796.5449,6880379.546317216,0.0,0,307876052761.4361,1180353030.246724,171666176.0,124064000,17572065873.85938,1495612740805.35,1648400630016.0,1100307141120,779777497052.8436,0
23,1095987709320.7949,1197233407616.0,0,799172113343.0736,-1095355556276.5944,-1197193006080.0,0,798932725629.1115,5215839.712321523,0.0,0,191333554335.10626,1211734064.4653623,139515904.0,187741952,17587660786.55207,1096572506180.7721,1197439142144.0,2532709888,798961587855.1458,0
24,899628173326.0479,990016012032.0,0,541027410156.3835,-899078357560.3738,-989700636416.0,0,540816647391.41785,127222089.42056075,0.0,0,239292491492.62665,1075299511.775701,183107840.0,239942144,13030085022.569504,900280879161.5701,990810000000.0,442909184,540578007998.45734,0
25,856717723104.589,693328158976.0,0,732268080795.1292,-855642846777.4877,-694803531520.0,0,731731368959.0588,2235480.701754386,0.0,0,144978680169.4928,1826383101.754386,189000960.0,100690176,19551377827.314445,857471465359.9438,693530459008.0,2214865920,732090749152.3602,0
26,311513918996147.06,432963084878848.0,0,194495323861376.34,-311463539773645.2,-432962017051904.0,0,194519453425536.53,2860029.1578947366,0.0,0,63237373506268.58,178468827352.3158,147104000.0,213191936,8725141340395.962,311642011461026.6,432963847647488.0,1483965952,194432661800372.1,0
27,1516617695825.295,1640883871488.0,0,982034034893.7096,-1516065250277.3901,-1640360413184.0,0,981772428212.1149,4393757.50806175,0.0,0,215254692304.38452,1072706034.651115,122635008.0,124392960,16605860332.942545,1517142350069.5493,1640728314112.0,8406750976,981756454931.8414,0
28,1358303686236.1099,1634357529472.0,0,877706373542.0144,-1357617485940.0098,-1630778726912.0,964343040,877428596925.1982,6921716.0725846,0.0,0,298288720637.67224,1352361986.2599313,222949120.0,158993920,18535498263.139477,1358976769642.3423,1643026973952.0,4182747136,877354990864.7584,0
29,861102662427.1594,744326838016.0,0,558556008931.4784,-860779422773.663,-744190632960.0,0,558540270766.5476,57111324.80932944,94779136.0,0,126323571564.43002,574289992.3965014,180779008.0,137812992,9713192738.067804,861410824090.8688,744763200000.0,2110267136,558346665892.6514,0
30,1526061882225.3755,1729852613504.0,0,1003620804308.2681,-1525075816538.549,-1728184239104.0,3907266816,1003089975944.0573,2341004.531975099,0.0,0,258896847214.109,1849711347.3955858,226501120.0,88084992,25587107208.603355,1526927868890.4766,1729994117120.0,3907266816,1003192770883.3325,0
31,1535545113787.727,1244929757824.0,0,1132680330388.2278,-1534819588805.6917,-1244762049792.0,0,1132287098414.5552,629389.1121951219,0.0,0,248748460519.613,1301714518.1658537,140737792.0,107598848,22336043422.63893,1536121932712.9697,1245029241856.0,1420318976,1132487055663.8547,1
32,201327023986731.03,789574803456.0,0,215065933111615.25,-201158323389025.56,-789575549184.0,0,215054106289454.3,2852025.0241404534,0.0,0,57155897518242.06,315977133174.91736,176910080.0,100333056,11625784611604.604,201474303374225.5,789742647040.0,3705810176,215075578239142.38,1
33,1066814192771.9808,1088188936576.0,0,727595953351.5372,-1066162626085.3812,-1088171899136.0,2324089088,727351560117.5505,18229789.87432675,0.0,0,172668777597.7555,1289995287.8994615,139577088.0,134168064,18174916138.64433,1067470851163.155,1088390976000.0,2324089088,727308069551.021,1
34,1199376262597.4543,1177601245952.0,0,863385869137.2887,-1198785981188.9358,-1177517781504.0,0,863148592817.1416,7087122.0976863755,0.0,0,271965286680.83917,1104152986.3239074,176787072.0,100176128,17076306571.27126,1199897221297.3574,1177693740416.0,2556843008,863158867330.2014,1
35,1291587671318.6497,1295022257536.0,0,722831169662.2487,-1291019558998.8052,-1294016950016.0,96594944,722559554513.7196,7365948.659101225,0.0,0,260195114641.37228,1154398144.3195643,154078976.0,140097024,15740603859.662495,1292181323091.784,1296010681088.0,6167139072,722379765519.4955,1
36,974379837174.2615,1082174077952.0,0,617424178560.9329,-973977755033.4208,-1082199923456.0,2893452032,617278694361.606,1379688.5949256343,0.0,0,159214300850.61984,828320039.8670167,131006976.0,121070080,13131072673.401545,974807454761.8828,1082440339072.0,2893452032,617202829382.0902,1
37,1654967826579.582,1600969546112.0,0,1069297143718.4431,-1654311665689.2273,-1600749383936.0,6128806912,1068981222244.2546,2434223.1578947366,0.0,0,324842167257.276,1273916704.680851,188435968.0,120861952,18531540906.647793,1655588016617.0662,1601177097984.0,6128806912,1068996257463.1426,1
38,1137150400624.0237,1111334991872.0,0,732677653692.4269,-1136324006348.8,-1111220982784.0,0,732363394480.4906,9410041.528624535,95753984.0,0,157532228148.56058,1671859257.1003718,164814848.0,140905984,18303834920.92539,1138005275647.429,1111462241024.0,7786784000,732257046781.249,1
39,333333467035608.1,432175335348992.0,0,182208231493618.6,-333314742126843.06,-432175124404480.0,0,182219911662315.84,1370264.6044444444,0.0,0,47116051983691.11,80453328586.47704,147235968.0,100232960,5861100990659.527,333395196825694.1,432175552235520.0,2062613760,182168616470761.6,1
40,896379906200.7339,908357516032.0,0,566378729283.2316,-895856209860.3334,-908303197568.0,2074446080,566204442333.13,1494976.5,0.0,0,94027019867.69516,1107277008.5,146763904.0,76128000,14823435867.795639,896964981845.3334,908462213632.0,2074446080,566086771980.5941,1
41,2110270390678.7708,2142618539008.0,0,1356559936059.1128,-2109942384116.0027,-2142417813504.0,2292099072,1356435962146.8416,795270.371040724,0.0,0,336178314431.6793,669032805.6056885,128244608.0,100304128,14484367608.126,2110612212191.9792,2142824752000.0,2292099072,1356385727282.336,1
