6281,Key.shift_r,0,1651587262084965000
6282,'C',0,1651587262329151000
6283,Key.shift_r,1,1651587262388073000
6284,'c',1,1651587262492982000
6285,'o',0,1651587262589372000
6286,'a',0,1651587262689337000
6287,'o',1,1651587262697225000
6288,'a',1,1651587262853438000
6289,'h',0,1651587263609387000
6290,'h',1,1651587263693469000
6291,Key.space,0,1651587263801086000
6292,Key.space,1,1651587263880528000
6293,Key.shift_r,0,1651587263953537000
6294,'C',0,1651587264024984000
6295,Key.shift_r,1,1651587264109522000
6296,'c',1,1651587264141274000
6297,'a',0,1651587264206503000
6298,'a',1,1651587264343493000
6299,'r',0,1651587264369901000
6300,'t',0,1651587264441491000
6301,'r',1,1651587264461100000
6302,'t',1,1651587264530226000
6303,'e',0,1651587264533645000
6304,'e',1,1651587264733867000
6305,Key.backspace,0,1651587264885119000
6306,Key.backspace,1,1651587264972851000
6307,Key.backspace,0,1651587265048665000
6308,Key.backspace,1,1651587265123230000
6309,Key.backspace,0,1651587265212141000
6310,Key.backspace,1,1651587265285170000
6311,Key.backspace,0,1651587265372978000
6312,Key.backspace,1,1651587265438623000
6313,Key.backspace,0,1651587265539087000
6314,Key.backspace,1,1651587265597936000
6315,Key.backspace,0,1651587265706384000
6316,Key.backspace,1,1651587265759907000
6317,Key.backspace,0,1651587265863045000
6318,Key.backspace,1,1651587265983169000
6319,'c',0,1651587266283221000
6320,'c',1,1651587266430298000
6321,'h',0,1651587266455651000
6322,'h',1,1651587266526738000
6323,Key.space,0,1651587266600411000
6324,Key.space,1,1651587266712838000
6325,Key.shift_r,0,1651587266789792000
6326,'C',0,1651587266843098000
6327,Key.shift_r,1,1651587266926668000
6328,'a',0,1651587266942618000
6329,'c',1,1651587266978322000
6330,'a',1,1651587267091411000
6331,'r',0,1651587267133958000
6332,'t',0,1651587267197203000
6333,'r',1,1651587267261169000
6334,'t',1,1651587267357126000
6335,'e',0,1651587267706999000
6336,Key.space,0,1651587267862861000
6337,'e',1,1651587267886567000
6338,Key.space,1,1651587267962286000
6339,'i',0,1651587268057502000
6340,'s',0,1651587268117277000
6341,'i',1,1651587268177438000
6342,Key.space,0,1651587268245728000
6343,'s',1,1651587268292850000
6344,Key.space,1,1651587268362084000
6345,Key.backspace,0,1651587268519045000
6346,Key.backspace,1,1651587268586371000
6347,Key.backspace,0,1651587268686375000
6348,Key.backspace,1,1651587268750518000
6349,Key.backspace,0,1651587268842280000
6350,Key.backspace,1,1651587268967099000
6351,Key.backspace,0,1651587269342678000
6352,Key.backspace,1,1651587269478223000
6353,'r',0,1651587269552117000
6354,'r',1,1651587269664538000
6355,Key.space,0,1651587269672283000
6356,Key.space,1,1651587269769315000
6357,'i',0,1651587275642068000
6358,'s',0,1651587275708291000
6359,'i',1,1651587275739766000
6360,Key.space,0,1651587275809050000
6361,'s',1,1651587275868783000
6362,Key.space,1,1651587275957411000
6363,'a',0,1651587276241755000
6364,Key.space,0,1651587276332787000
6365,'a',1,1651587276381571000
6366,Key.space,1,1651587276433659000
6367,'g',0,1651587276542870000
6368,'g',1,1651587276591059000
6369,'r',0,1651587276725004000
6370,'e',0,1651587276786710000
6371,'r',1,1651587276822006000
6372,'e',1,1651587276874418000
6373,'a',0,1651587277006391000
6374,'a',1,1651587277161900000
6375,'t',0,1651587277475950000
6376,'t',1,1651587277518764000
6377,Key.space,0,1651587277661692000
